"rec","rep","D","D_ends","D_theory","R","R_theory","H","site"
"rr201611_039_EasterPoint_dem_low",9,2.22434607230456,2.209485457804,2.209485457804,1.36771985189144,1.10728686604572,0.650688409805298,"Easter Point"
"rr201611_039_EasterPoint_dem_low",10,2.29010625787146,2.29161717861352,2.29161717861352,1.2897468528528,1.0893813203334,0.444886922836304,"Easter Point"
"rr201611_039_EasterPoint_dem_low",11,2.22814123333098,2.21804140611096,2.21804140611096,1.51330226977132,1.14875811657196,0.751093626022339,"Easter Point"
"rr201611_039_EasterPoint_dem_low",12,2.20130465895097,2.18468143182997,2.18468143182997,1.53626556516007,1.13903274341447,0.813277959823608,"Easter Point"
"rr201611_039_EasterPoint_dem_low",13,2.19211532818527,2.21548510468079,2.21548510468079,1.3944828469964,1.1347808982048,0.718949556350708,"Easter Point"
"rr201611_039_EasterPoint_dem_low",14,2.32528458126039,2.32180070339989,2.32180070339989,1.30189956534263,1.10072976593615,0.426531076431274,"Easter Point"
"rr201611_039_EasterPoint_dem_low",15,2.21415560318524,2.20841624461924,2.20841624461924,1.27437783548955,1.08946530919202,0.593871116638184,"Easter Point"
"rr201611_039_EasterPoint_dem_low",16,2.26497534453668,2.26841081567319,2.26841081567319,1.34951623146672,1.11276049235355,0.544565439224243,"Easter Point"
"rr201611_040_NoMansLand_dem_low",1,2.2698641106199,2.28114803337616,2.28114803337616,1.2445786536091,1.04828219082229,0.3357093334198,"No Mans Land"
"rr201611_040_NoMansLand_dem_low",2,2.34491497982341,2.33428283494309,2.33428283494309,1.34146577236777,1.07844596182674,0.358553409576416,"No Mans Land"
"rr201611_040_NoMansLand_dem_low",3,2.28670892142285,2.26441157319099,2.26441157319099,1.37555311257844,1.0922445137045,0.496984004974365,"No Mans Land"
"rr201611_040_NoMansLand_dem_low",4,2.26642829136992,2.26082956990723,2.26082956990723,1.4792320704579,1.11944840263387,0.576313734054565,"No Mans Land"
"rr201611_040_NoMansLand_dem_low",5,2.31696916996425,2.32375416185234,2.32375416185234,1.29196668412994,1.05897198405835,0.320918321609497,"No Mans Land"
"rr201611_040_NoMansLand_dem_low",6,2.26762321231683,2.26286452958721,2.26286452958721,1.37957987540233,1.0922642969842,0.499711751937866,"No Mans Land"
"rr201611_040_NoMansLand_dem_low",7,2.26690358184601,2.25450889305194,2.25450889305194,1.38671192088879,1.09874003310524,0.532962799072266,"No Mans Land"
"rr201611_040_NoMansLand_dem_low",8,2.34917991974061,2.35848918861895,2.35848918861895,1.29185247029118,1.07476895106167,0.321595907211304,"No Mans Land"
"rr201611_040_NoMansLand_dem_low",9,2.35080875045777,2.33584294925064,2.33584294925064,1.52092697451955,1.12769590787634,0.460356473922729,"No Mans Land"
"rr201611_040_NoMansLand_dem_low",10,2.3204691458651,2.31725832770303,2.31725832770303,1.55781163128797,1.1458086395178,0.526878833770752,"No Mans Land"
"rr201611_040_NoMansLand_dem_low",11,2.32534033478495,2.33875240024761,2.33875240024761,1.33022183366575,1.07452839610744,0.343789339065552,"No Mans Land"
"rr201611_040_NoMansLand_dem_low",12,2.36552588401729,2.3742822073256,2.3742822073256,1.25451214975475,1.06107406149527,0.274264335632324,"No Mans Land"
"rr201611_040_NoMansLand_dem_low",13,2.36658413312382,2.36632321566879,2.36632321566879,1.40233019029857,1.10678674284851,0.376914262771606,"No Mans Land"
"rr201611_040_NoMansLand_dem_low",14,2.35000297194269,2.34486329136149,2.34486329136149,1.45096818571861,1.11093362641506,0.414231300354004,"No Mans Land"
"rr201611_040_NoMansLand_dem_low",15,2.35124485300547,2.35872596766869,2.35872596766869,1.49233302902838,1.11062288129213,0.394217967987061,"No Mans Land"
"rr201611_040_NoMansLand_dem_low",16,2.35002388963227,2.35368963914811,2.35368963914811,1.55670925104487,1.1407001195002,0.455631971359253,"No Mans Land"
"rr201611_041_NorthOfParadise_dem_low",1,2.16675572540508,2.16428054996807,2.16428054996807,1.36564161403246,1.06368194603015,0.58024001121521,"North of Paradise"
"rr201611_041_NorthOfParadise_dem_low",2,2.21314460071788,2.21556462789143,2.21556462789143,1.2315550815567,1.05002097065616,0.429084777832031,"North of Paradise"
"rr201611_041_NorthOfParadise_dem_low",3,2.23836143831353,2.24613771584368,2.24613771584368,1.23494486043007,1.05368121600922,0.400173664093018,"North of Paradise"
"rr201611_041_NorthOfParadise_dem_low",4,2.32435997729971,2.33544709999792,2.33544709999792,1.34723482126107,1.07767649587541,0.355288028717041,"North of Paradise"
"rr201611_041_NorthOfParadise_dem_low",5,2.24605432183787,2.23954698001104,2.23954698001104,1.44456818362616,1.10421209835541,0.577423810958862,"North of Paradise"
"rr201611_041_NorthOfParadise_dem_low",6,2.32899290702774,2.32048551763013,2.32048551763013,1.47888554828939,1.12241669188352,0.474790334701538,"North of Paradise"
"rr201611_041_NorthOfParadise_dem_low",7,2.21831994894114,2.22349334372396,2.22349334372396,1.22231946607393,1.05203784269658,0.425996780395508,"North of Paradise"
"rr201611_041_NorthOfParadise_dem_low",8,2.25546593939799,2.2599329143973,2.2599329143973,1.40896740555348,1.08842561174349,0.493748188018799,"North of Paradise"
"rr201611_041_NorthOfParadise_dem_low",9,2.34935903044205,2.33856311015716,2.33856311015716,1.48399809350937,1.14090090418234,0.480520486831665,"North of Paradise"
"rr201611_041_NorthOfParadise_dem_low",10,2.3511702197376,2.36064253824541,2.36064253824541,1.57687721162468,1.15692534771272,0.471506834030151,"North of Paradise"
"rr201611_041_NorthOfParadise_dem_low",11,2.27298457672227,2.26728466213893,2.26728466213893,1.50769663956771,1.1306594753941,0.590974807739258,"North of Paradise"
"rr201611_041_NorthOfParadise_dem_low",12,2.19862906556313,2.19838726373612,2.19838726373612,1.47531697188479,1.11366570331966,0.697068214416504,"North of Paradise"
"rr201611_041_NorthOfParadise_dem_low",13,2.35749951460878,2.35589870933999,2.35589870933999,1.70751762551691,1.23525266556214,0.597440481185913,"North of Paradise"
"rr201611_041_NorthOfParadise_dem_low",14,2.31789137908174,2.30522764851169,2.30522764851169,1.66424644956932,1.209799897542,0.668668270111084,"North of Paradise"
"rr201611_041_NorthOfParadise_dem_low",15,2.27974096937965,2.25779180635419,2.25779180635419,1.68124754665114,1.18215284923538,0.729777097702026,"North of Paradise"
